tweet,descriptions,clean_tweet,sentiment
"@leejaaeehyun Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",leejaaeehyun hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@18fesss aplikasi hijau tokopedia kah, tu body mksudnya sparepart mio kan","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",fesss aplikasi hijau tokopedia kah tu body mksudnya sparepart mio,netral
Tokopedia ❌,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia,netral
"@gopayindonesia @tokopedia Analaogi
HP satuannya jadi 3
Laptop satuannya 5
apabila hp * laptop
maka 3 * 5 = 15

15 adalah kata kunci yg menunjukan bahwa lomit gopay later cicil s.d 15 juta* 

#SemuaJadiRingan
#GoPayLaterCicil","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia analaogihp satu laptop satu hp laptopmaka kunci yg tunjuk lomit gopay later cicil sd juta semuajadiringangopaylatercicil,netral
"@slytherinboyy Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",slytherinboyy hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"⭕ dom surabaya
⭕ dp sekitar 50-70% (via bca, seabank, spay, gopay, dana)
⭕ ready tokopedia free ongkir untuk pelunasan (tambah admin 9%) + kirim nanti

note: harga yg aku cantumin belum pasti fix ya, karena nunggu kabar dari GO 😉","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",dom surabaya dp via bca seabank spay gopay dana ready tokopedia free ongkir lunas admin kirim nantinote harga yg cantumin fix ya nunggu kabar go,positif
"@ShopeeID @tokopedia @ShopeeID cs kamu cepet, tapi tim investigasi kamu lama. Aku merasa buyer yang beli produk saya adalah pelaku penipuan karena sangat aneh. Apalagi usernya berantakan, alamtnya jg sekolah bukan rumah. Dibandu yes","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",shopeeid tokopedia shopeeid cs cepet tim investigasi buyer beli produk laku tipu aneh usernya beranta alamtnya jg sekolah rumah bandu yes,negatif
"@JNEcare Pesanan tokopedia saya belum tiba dan di trackernya hanya on process JNE. Mustinya pesanan tiba hari ini, karena saya butuh besok pagi. Bisa dibantu kah? Saya bisa ambil ke counter JNE kalau perlu. Tks","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",jnecare pesan tokopedia trackernya on process jne mustinya pesan butuh besok pagi bantu kah ambil counter jne tks,positif
"@ShopeeID Aku udah ke cs 5 kali kak, tolong bales dong. Tim investigasi jangan lelet. Tim investigasi @tokopedia aja bisa cepat balasnya. Shopee kamu mau butuh bukti ap lagi? Aku akan kirimkan kalau produk yang aku kirim ke buyer adalah kualitas bagus dan sesuai dengan deskripsi","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",shopeeid udah cs kali kak tolong bales tim investigasi lelet tim investigasi tokopedia aja cepat balas shopee butuh bukti ap kirim produk kirim buyer kualitas bagus sesuai deskripsi,positif
"WTS
Tiket EXO SC, CAT 1 jual rugi 1,8/tiket
Sisa 2 tiket ROW i
Mau di urusin sampe tiket fisik bisa nanti lewat jasa tuker tiket
Mau rekber tokopedia/shopee juga boleh
#EXOSC_BackToBack #EXOSCFANCONINJAKARTA #EXOSCInJKT","['Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'Named people in the world like Nelson Mandela', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ']",wtstiket exo sc cat jual rugi tiketsisa tiket row imau urusin sampe tiket fisik jasa tuker tiketmau rekber tokopediashopee bolehexoscbacktoback exoscfanconinjakarta exoscinjkt,negatif
@gopayindonesia @tokopedia Limit GoPayLater Cicil s.d 15 Juta #SemuaJadiRingan #GoPayLaterCicil,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia limit gopaylater cicil sd juta semuajadiringan gopaylatercicil,netral
"Ebook sama beberapa sample jawaban dan tips. Untuk pembayaran dan pengiriman bisa diobrolkan, aku open for transfer dan third app such as Tokopedia (preferred).","['Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'A product taxonomy for labeling categories of products. ']",ebook sample tips bayar kirim obrol open for transfer third app such as tokopedia preferred,netral
"@tokopedia Haha oke nabung dulu kalo gtu, keranjangin biar ga di ambil orang minto😄","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia haha oke nabung kalo gtu keranjangin biar ga ambil orang minto,netral
wtb voc gratong shopee atau tokped tokopedia yang minbel 0 potongannya full 9k ada gak yaa  😔😔 #zonauang,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",wtb voc gratong shopee tokped tokopedia minbel potong full k yaa zonauang,netral
"@tokopedia Gk pernah pake earphone, sakit di kupingku😂","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia pake earphone sakit kuping,negatif
Beli gadget baru di Tokopedia pakai Indodana Paylater dan nikmati diskon sampai 1 jt! Ditambah kamu bisa bayar belakangan! Yuk download sekarang!,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",beli gadget tokopedia pakai indodana paylater nikmat diskon jt tambah bayar yuk download,positif
Random banget beli kemoceng aja pake ke tokopedia segala,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",random banget beli kemoceng aja pake tokopedia,netral
"Mama aku tiba tiba liat spanduk tokopedia ""ini.. em ini jimin"" aku bilek hah ko tau? Trus blio bilang ""iya mama suka bts anaknya lucu yg mama suka jin sm jungkook yg nyanyi qatar"" ow syid mama aku army 💀","['Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', ""A viral fan community like 'Lovatics' (fans of Demi Lovato)"", 'for individual and types of technology, e.g., food technology, 3D printing', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'Named people in the world like Nelson Mandela', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ']",mama liat spanduk tokopedia em jimin bilek hah ko tau trus blio bilang iya mama suka bts anak lucu yg mama suka jin sm jungkook yg nyanyi qatar ow syid mama army,positif
@tokopedia Vanny vabiola..disini dibatas kota ini 😂,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia vanny vabioladisini batas kota,netral
"@AzarineCosmetic @tokopedia Min, berarti ini varian baru plus moisturizer ya? Harga 35k itu untuk brp ml?","['Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'Top level interests and hobbies groupings, like Food or Travel', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks', 'A taxonomy of user interests. ']",azarinecosmetic tokopedia min varian plus moisturizer ya harga k brp ml,netral
"@xjytbaobei Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",xjytbaobei hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@calaeberry Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",calaeberry hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@jodohhaechan01 Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",jodohhaechan hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@moonbellie Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",moonbellie hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
Ivvala Indonesian company Tokopedia employee ni kalisa Gojek &amp; Tokopedia merged but Tokopedia operations Noida &amp; Hyd based ga running it seems sir @sivasuryatej..,"['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",ivvala indonesian company tokopedia employee ni kalisa gojek amp tokopedia merged but tokopedia operations noida amp hyd based ga running it seems sir sivasuryatej,netral
"@chipuyyyyyyy Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",chipuyyyyyyy hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
@offisyelstore tokopedia,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",offisyelstore tokopedia,netral
@MrsDhi Di tanah abang mba. Udh lama bgt jaman blm ada tokopedia atau shopee😭😭😭,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",mrsdhi tanah abang mba udh bgt jaman blm tokopedia shopee,netral
Belanja di Tokopedia jadi makin mudah dan hemat karena bayarnya pakai Indodana Paylater! Download sekarang!,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",belanja tokopedia mudah hemat bayar pakai indodana paylater download,positif
@trash_url @18fesss tokopedia keanya,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",trashurl fesss tokopedia keanya,netral
"Yang need jastip jasa nitip titip barang atau jasa co shopee tokped tokopedia toko oren ijo, naikin rating toko bisa DM ya. Avail buat event besok 25.1","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",need jastip jasa nitip titip barang jasa co shopee tokped tokopedia toko oren ijo naikin rating toko dm ya avail event besok,netral
@oveurnoira Tokopedia ada garansi gak,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",oveurnoira tokopedia garansi,netral
"@tokopedia ""Harus punya OPP Reno8 T"" karena mau ngasih adek hp belum ada rezekinya, bismillah semoga ada rezekinya disini
#Reno8TdiTokopedia","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia opp reno t ngasih adek hp rezeki bismillah moga rezeki disinirenotditokopedia,positif
@loxstangels Tokopedia,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",loxstangels tokopedia,netral
"Open Gestun limit paylater :
🛒 kredivo, indodana, Homecredit, BRI Ceria,traveloka VN,credit Card,gopayLater/cicil, dan tokopedia card
🛒 Akulaku, Bukalapak
🛒 Spaylater 

💌 Co via tokped bisa apply voucher cashback &amp; diskon barang
#zonauang 6","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun limit paylater kredivo indodana homecredit bri ceriatraveloka vncredit cardgopaylatercicil tokopedia card akulaku bukalapak spaylater co via tokped apply voucher cashback amp diskon barangzonauang,netral
"@tokopedia Tolong ini udah beli token listrik, udah bayar juga, tapi belum tuntas tuntas transaksi nya wei. Buruan.","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia tolong udah beli token listrik udah bayar tuntas tuntas transaksi nya wei buru,positif
@gunawan7811 @tokopedia Itu aku jualan taun lalu baru mau aku kirim skrng ternyata dapetnya si cepat. Dulu kan blm bisa di non aktifin,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gunawan tokopedia jual taun kirim skrng dapetnya si cepat blm non aktifin,positif
"yang sering belanja nominal gede di tokopedia boleh dong reply, aku mau ajak partnership (comission), bisa dm aku yaa yang berminat!","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",belanja nominal gede tokopedia reply ajak partnership comission dm yaa minat,netral
